source_id,source_name,author,title,description,url,publishedAt,content,category_hint,fetched_at
the-times-of-india,The Times of India,ET CONTRIBUTORS,Natural Gas Prices: Navigating Volatility Amid Shifting Global Dynamics,"Natural gas prices have stayed volatile due to supply resilience, unpredictable demand, and geopolitical tensions. With a colder winter forecast under La Niña, heating demand in the U.S. and Europe is set to rise. Meanwhile, strong U.S. output and China’s shi…",https://economictimes.indiatimes.com/markets/commodities/natural-gas-prices-navigating-volatility-amid-shifting-global-dynamics/articleshow/125029357.cms,2025-11-02T05:29:42Z,"Natural gas markets have witnessed heightened volatility over the past few months, both in the international benchmarks and domestic MCX futures. Since March 2023, prices have largely consolidated wi… [+4219 chars]",keyword,2025-11-03T09:57:01.597508
,Ndtvprofit.com,Bloomberg News,"US-China Trade Deal: Rare Earth Curbs Suspended, 100% Tariff Paused-White House Fact Sheet At A Glance","US-China Trade Deal: China will effectively suspend implementation of additional export controls on rare earth metals and terminate investigations targeting US companies in the semiconductor supply chain, the White House announced.",https://www.ndtvprofit.com/business/china-to-suspend-some-rare-earth-curbs-probes-on-us-chip-firms,2025-11-02T03:55:49Z,"China will effectively suspend implementation of additional export controls on rare earth metals and terminate investigations targeting US companies in the semiconductor supply chain, the White House… [+3482 chars]",keyword,2025-11-03T09:57:01.597511
the-times-of-india,The Times of India,Major Amit Bansal Retired and Nirmal John,Agent Cringe: Real-life spies reckon Indian espionage movies hardly ever get it right; here’s why,"Indian intelligence officers express frustration with movie spy portrayals.  Real spies are not action heroes but ordinary people trained to blend in.  Their work involves meticulous research, teamwork, and avoiding confrontation.  Intimacy is a vulnerability…",https://economictimes.indiatimes.com/news/defence/agent-cringe-real-life-spies-reckon-indian-espionage-movies-hardly-ever-get-it-right-heres-why/articleshow/125028503.cms,2025-11-02T03:42:22Z,"I laugh when I see how intelligence officers and people in uniform are portrayed in movies. Sometimes I feel angry too. We are protecting the country, you know.The exasperation is clear as one of the… [+9383 chars]",keyword,2025-11-03T09:57:01.597514
fox-news,Fox News,,Fetterman calls for bipartisan cooperation as he continues working across party lines on key issues,"Pennsylvania Sen. John Fetterman explained why he supports working across party lines, citing his co-sponsorship of the Laken Riley Act and opposition to shutdowns.",https://www.foxnews.com/media/fetterman-calls-bipartisan-cooperation-he-continues-working-across-party-lines-key-issues,2025-11-02T03:36:14Z,"Sen. John Fetterman, D-Pa., joined Lara Trump to discuss why he believes it is so important to have conversations with both sides of the political divide in a Saturday interview on ""My View."" 
Latel… [+2747 chars]",keyword,2025-11-03T09:57:01.597531
,Digital Journal,AFP,‘Swing for the fences’: Carney promises bold budget as US threat grows,"Carney said his government would propose a budget that addresses the stark new geopolitical realities facing Canada.
The post ‘Swing for the fences’: Carney promises bold budget as US threat grows appeared first on Digital Journal.",https://www.digitaljournal.com/business/swing-for-the-fences-carney-promises-bold-budget-as-us-threat-grows/article,2025-11-02T02:56:38Z,"Canada's Prime Minister Mark Carney said he will propose an ambitious budget to reform his country's economy - Copyright AFP Frederic J. BROWN
Canada’s new Liberal government unveils its first budge… [+3621 chars]",keyword,2025-11-03T09:57:01.597534
,Khabarhub.com,Khabarhub,Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economy is witnessing a mix of reform-driven optimism and operational challenges across key s…",https://english.khabarhub.com/2025/02/503845/,2025-11-02T02:15:56Z,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries.
Nepals economy is witnessing a mix of re… [+11276 chars]",keyword,2025-11-03T09:57:01.597537
the-times-of-india,The Times of India,Don Tomslee,"Gold price today: bullion holds at $4,015 per ounce as fed policy and trade tensions drive market consolidation","Gold price today stands at $4,015 per ounce on November 1, 2025, consolidating after October's record $4,378 peak. Federal Reserve rate cut uncertainty, US-China trade truce, and central bank purchases of 220 tons support gold prices despite ETF outflows and …",https://economictimes.indiatimes.com/news/international/us/gold-price-today-bullion-holds-at-4015-per-ounce-as-fed-policy-and-trade-tensions-drive-market-consolidation/articleshow/125027887.cms,2025-11-02T01:54:54Z,"Gold price today stabilized near the $4,015 level as the precious metal consolidates following its meteoric rise earlier this year. As of 2:20 PM ET on Saturday, November 1, 2025, spot gold traded at… [+11562 chars]",keyword,2025-11-03T09:57:01.597540
,Biztoc.com,zerohedge.com,These Are The World's Biggest Gold Mines,"These Are The World's Biggest Gold Mines
 
Driven by geopolitical tensions, economic uncertainty and sustained central bank buying, the price of gold reached record levels, gaining nearly 60 percent this year to pass the $,4,000-per-ounce mark this month (clo…",https://biztoc.com/x/92ed96ca1b0d8c50,2025-11-02T00:43:34Z,"These Are The World's Biggest Gold Mines
Driven by geopolitical tensions, economic uncertainty and sustained central bank buying, the price of gold reached record levels, gaining nearly 60 percent t… [+141 chars]",keyword,2025-11-03T09:57:01.597543
,Yahoo Entertainment,Alex Kimani,Indian Refiners Pivot Away From Russian Oil,"Indian refiners are shunning Russian oil due to fresh U.S. sanctions, leading to a pivot towards costlier alternatives and potential shifts in global oil...",https://finance.yahoo.com/news/indian-refiners-pivot-away-russian-230000877.html,2025-11-01T23:00:00Z,"Oil prices were little changed in the current week, with bearish sentiment still ruling the markets after the U.S. agreed to a one-year truce to its trade war with China, despite reports that Indian … [+4918 chars]",keyword,2025-11-03T09:57:01.597548
,Digitimes,DIGITIMES,"Nvidia strengthens South Korea ties, turning AI drive into geopolitical strategy","As world leaders gather for the APEC Summit in Gyeongju amid tense geopolitics, South Korea is quietly taking on a new strategic role in the global AI race. Nvidia CEO Jensen Huang's landmark decision to allocate 260,000 of its latest Blackwell-architecture G…",https://www.digitimes.com/news/a20251031VL216/nvidia-ai-apec-cloud-samsung.html,2025-11-01T22:47:44Z,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",keyword,2025-11-03T09:57:01.597551
fortune,Fortune,"Hadriana Lowenkron, Bloomberg","China to suspend some rare earth curbs, probes on U.S. chip firms","China will issue export licenses for rare earths, gallium, germanium, antimony and graphite “for the benefit of U.S. end users and their suppliers,” the White House said.",https://fortune.com/2025/11/01/china-rare-earth-export-curbs-suspension-probes-us-chip-firms/,2025-11-01T21:50:15Z,"China will effectively suspend implementation of additional export controls on rare earth metals and terminate investigations targeting US companies in the semiconductor supply chain, the White House… [+3555 chars]",keyword,2025-11-03T09:57:01.597554
rt,RT,RT,"Fyodor Lukyanov: As the US and China collide, other civilizations prepare their own course",The era of polite globalization is over and civilizations are back Read Full Article at RT.com,https://www.rt.com/news/627245-fyodor-lukyanov-china-us/,2025-11-01T21:17:29Z,"The well-worn business phrase “push and pull” neatly captures the essence of today’s US–China relations. What once looked like a competitive partnership has hardened into a contest of wills, power, a… [+5889 chars]",keyword,2025-11-03T09:57:01.597557
,Wnd.com,"Saeed Ghasseminejad, Real Clear Wire",Duplicitous interlocutor: Qatar’s calculated bet on the Islamic Republic,"2 nations share LNG resources, but Dohar has thriving industry while Iran is caught in dysfunction",https://www.wnd.com/2025/11/duplicitous-interlocutor-qatars-calculated-bet-islamic-republic/,2025-11-01T20:28:25Z,"Hamas runs an office in Qatar’s capital of Doha, famous for its five-star hotels, lavish shopping and arts facilities, and is far removed from the reality of Gaza.
Qatars wealth and prestige are bui… [+5140 chars]",keyword,2025-11-03T09:57:01.597560
,Wnd.com,RealClearWire,Congress takes page from Louisiana: The case for an American energy renaissance,The debate now is over 'the real and the imaginary …',https://www.wnd.com/2025/11/congress-takes-page-louisiana-case-american-energy-renaissance/,2025-11-01T20:22:36Z,"When Louisiana enacted Act 462 earlier this year, it did more than redefine green energy. It redefined leadership. Under Governor Jeff Landrys direction, Louisiana became the first state in the natio… [+4564 chars]",keyword,2025-11-03T09:57:01.597564
financial-post,Financial Post,Bloomberg News,"China to End Rare Earth Controls, Probes Against Chip Companies","China will effectively suspend implementation of additional export controls on rare earth metals and terminate investigations targeting US companies in the semiconductor supply chain, the White House announced.",https://financialpost.com/pmn/business-pmn/china-to-end-rare-earth-controls-probes-against-chip-companies,2025-11-01T19:37:30Z,"(Bloomberg) China will effectively suspend implementation of additional export controls on rare earth metals and terminate investigations targeting US companies in the semiconductor supply chain, the… [+4943 chars]",keyword,2025-11-03T09:57:01.597567
the-times-of-india,The Times of India,Reuters,Asia-Pacific trade bloc calls for shared benefits,"This year's Asia-Pacific Economic Cooperation (APEC) meeting, hosted by South Korea, unfolded under the shadow of geopolitical tensions and aggressive economic strategies-ranging from US tariffs to China's export controls-that have pressured global trade.",https://economictimes.indiatimes.com/news/international/world-news/asia-pacific-trade-bloc-calls-for-shared-benefits/articleshow/125021009.cms,2025-11-01T17:37:17Z,"GYEONGJU(SOUTH KOREA): Facing deepening fractures in the world trade order, Asia-Pacific leaders adopted a joint declaration that emphasised the need for resilience and shared benefits in trade at th… [+3010 chars]",keyword,2025-11-03T09:57:01.597570
,Noahpinion.blog,paulpauper,The giant basket case countries,"Article URL: https://www.noahpinion.blog/p/the-giant-basket-case-countries
Comments URL: https://news.ycombinator.com/item?id=45783465
Points: 3
# Comments: 0",https://www.noahpinion.blog/p/the-giant-basket-case-countries,2025-11-01T17:24:57Z,"I used to talk a lot about developing countries how the successful ones accelerated their growth, and what lessons the others could learn from those successes. Heres a whole series I wrote about the … [+11735 chars]",keyword,2025-11-03T09:57:01.597572
,The Star Online,The Star Online,"Syrian president Sharaa expected to visit Washington, US envoy says",MANAMA (Reuters) -United States Special Envoy to Syria Tom Barrack said on Saturday that Syrian President Ahmed Sharaa was expected to visit Washington. Read full story,https://www.thestar.com.my/news/world/2025/11/02/syrian-president-sharaa-expected-to-visit-washington-us-envoy-says,2025-11-01T16:48:00Z,"MANAMA (Reuters) -United States Special Envoy to Syria Tom Barrack said on Saturday that Syrian President Ahmed Sharaa was expected to visit Washington.
During the visit, Syria would ""hopefully"" joi… [+1182 chars]",keyword,2025-11-03T09:57:01.597575
,BusinessLine,Hari Viswanath,"Halo of the Gold rally: Nifty 50, S&P 500 versus Gold and lessons to learn from the yellow metal’s boom in the last 5 decades",From Nixon Shock to tariff shocks... demystifying the structural factors that are driving the yellow metal’s surge,https://www.thehindubusinessline.com/portfolio/big-story/halo-of-the-gold-rally-nifty-50-sampp-500-versus-gold-and-lessons-to-learn-from-the-yellow-metals-boom-in-the-last-5-decades/article70226193.ece,2025-11-01T16:35:14Z,"The Debasement Trade is the new buzzword in town. As recently as last Thursday, legendary investor Ray Dalio and founder of Bridgwater associates, one of the worlds largest and most-famous hedge fund… [+15639 chars]",keyword,2025-11-03T09:57:01.597578
,BusinessLine,Hari Viswanath,"Nifty 50, S&P 500 versus Gold: Lessons to learn from the yellow metal’s boom in the last 5 decades",From Nixon Shock to tariff shocks... demystifying the structural factors that are driving the yellow metal’s surge,https://www.thehindubusinessline.com/portfolio/big-story/nifty-50-sampp-500-versus-gold-lessons-to-learn-from-the-yellow-metals-boom-in-the-last-5-decades/article70226193.ece,2025-11-01T16:35:14Z,"The Debasement Trade is the new buzzword in town. As recently as last Thursday, legendary investor Ray Dalio and founder of Bridgwater associates, one of the worlds largest and most-famous hedge fund… [+15639 chars]",keyword,2025-11-03T09:57:01.597581
bloomberg,Bloomberg,Bloomberg,"Oil steadies as traders weigh US moves on Venezuela, oversupply",Oil prices stabilize as traders assess US-Venezuela relations and OPEC+ output decisions amid a looming global crude glut.,https://www.bloomberg.com/news/articles/2025-10-30/latest-oil-market-news-and-analysis-for-oct-31,2025-11-01T16:24:12Z,"Oil steadied to end the week, with OPEC+ expected to focus on another modest output increase when key members convene this weekend and as US President Donald Trump denied that he was planning a milit… [+2689 chars]",keyword,2025-11-03T09:57:01.597583
,GlobeNewswire,Global Times,"Global Times- Xi lands in South Korea for APEC meeting, state visit","Xi Jinping’s visit to South Korea aims to restore ties, boost trade, and strengthen China-South Korea cooperation. Xi Jinping’s visit to South Korea aims to restore ties, boost trade, and strengthen China-South Korea cooperation.",https://www.globenewswire.com/news-release/2025/11/01/3178754/0/en/Global-Times-Xi-lands-in-South-Korea-for-APEC-meeting-state-visit.html,2025-11-01T16:19:00Z,"Beijing, China, Nov. 01, 2025 (GLOBE NEWSWIRE) -- Chinese President Xi Jinping's state visit to South Korea, which marks his first state visit to the country after 11 years, could serve as an opportu… [+4997 chars]",keyword,2025-11-03T09:57:01.597586
,GlobeNewswire,Former CIA Officer Buck Sexton,Former CIA Officer Buck Sexton Pulls Back the Curtain on “Manhattan II”,"Inside the Closed-Door Briefings, High-Level Strategy Calls, and Urgent Race to Secure America’s Lead in Artificial Superintelligence Inside the Closed-Door Briefings, High-Level Strategy Calls, and Urgent Race to Secure America’s Lead in Artificial Superinte…",https://www.globenewswire.com/news-release/2025/11/01/3178745/0/en/Former-CIA-Officer-Buck-Sexton-Pulls-Back-the-Curtain-on-Manhattan-II.html,2025-11-01T15:00:00Z,"Washington, D.C., Nov. 01, 2025 (GLOBE NEWSWIRE) -- Former CIA counter-terrorism officer Buck Sexton says the public has only seen the surface of whats happening inside Washington.
In a newly releas… [+3123 chars]",keyword,2025-11-03T09:57:01.597589
,BusinessLine,PTI & Jayasri R _12288,"Gold extends decline for 2nd week as dollar strength, Fed tone weigh on sentiment","Gold prices decline for the second week due to dollar strength and cautious Fed signals, impacting safe-haven demand.",https://www.thehindubusinessline.com/markets/gold/gold-extends-decline-for-2nd-week-as-dollar-strength-fed-tone-weigh-on-sentiment/article70230122.ece,2025-11-01T14:45:43Z,"Gold prices extended their decline for the second consecutive week as improved global risk appetite, a strong dollar, and the US Federal Reserve's cautious tone of further rate cuts have dampened the… [+4031 chars]",keyword,2025-11-03T09:57:01.597591
,Forbes,"Peter Suciu, Contributor, 
 Peter Suciu, Contributor
 https://www.forbes.com/sites/petersuciu/","Russia Claims To Have Tested Poseidon Nuclear UUV, Is The Threat Real?",The unmanned underwater vehicle was developed to bypass missile defense systems and deliver a nuclear warhead against coastal targets and even aircraft carrier strike groups.,https://www.forbes.com/sites/petersuciu/2025/11/01/russia-claims-to-have-tested-poseidon-nuclear-uuv-is-the-threat-real/,2025-11-01T14:32:05Z,"Also known as the Status-6 Oceanic Multipurpose System, with the NATO reporting name ""Kanyon,"" the Poseidon is an unmanned underwater vehicle that was developed to bypass missile defense systems and … [+5552 chars]",keyword,2025-11-03T09:57:01.597594
,Ambcrypto.com,Samyukhtha L KM,Bitcoin fizzles in ‘Uptober’ – Is a November rally still possible?,"The numbers look wobbly, but history says otherwise.",https://ambcrypto.com/bitcoin-fizzles-in-uptober-is-a-november-rally-still-possible/,2025-11-01T14:00:30Z,"Key takeaways
Why did Bitcoin fail in October 2025
BTC dropped as retail interest fell, network activity cooled, and macro pressures weighed on the market.
Can November bring a rally?
Historicall… [+2419 chars]",keyword,2025-11-03T09:57:01.597597
the-times-of-india,The Times of India,Piyush Shukla,Al-Qaeda is back - this country could become the first to be ruled by the terror group in its 40-year history,"Al-Qaeda in Mali is closer than ever to ruling its first country. The terror group’s affiliate, JNIM, now controls huge parts of the nation and is closing in on Bamako. Fuel blockades, food shortages, and rising prices grip the capital as militants tighten th…",https://economictimes.indiatimes.com/news/international/us/al-qaeda-is-back-this-country-could-become-the-first-to-be-ruled-by-the-terror-group-in-its-40-year-history/articleshow/125016306.cms,2025-11-01T13:13:59Z,"Al-Qaeda is closer than ever to achieving what it has never done before ruling a country. In Mali, its affiliate Jamaat Nusrat al-Islam wal-Muslimin (JNIM) is tightening its hold across vast parts of… [+9261 chars]",keyword,2025-11-03T09:57:01.597599
,DW (English),"Nina Werkhäuser, Sabine Kinkartz",Rare earth elements: German defense industry in a tight spot,"China recently used its dominance over the global supply of rare earth elements for leverage in its trade dispute with the United States. That had an impact on Germany, which needs those metals for weapons production.",https://www.dw.com/en/rare-earth-elements-german-defense-industry-in-a-tight-spot/a-74576994,2025-11-01T12:52:00Z,"Rare earths are extremely valuable metallic elements that are not only found in smartphones and electric cars, but also in weapons. Among other things, they are used in the construction of fighter je… [+6214 chars]",keyword,2025-11-03T09:57:01.597602
,DW (English),"Nina Werkhäuser, Sabine Kinkartz",Rare earths: German defense industry in a tight spot,"In its trade dispute with the US, China is using rare earths as a strategic lever. This is also affecting Germany, which needs those metals for weapons production. Rare earths are extremely valuable metallic elements that are not only found in smartphones and…",https://www.dw.com/en/rare-earths-german-defense-industry-in-a-tight-spot/a-74576994,2025-11-01T12:52:00Z,"Rare earths are extremely valuable metallic elements that are not only found in smartphones and electric cars, but also in weapons. Among other things, they are used in the construction of fighter je… [+6214 chars]",keyword,2025-11-03T09:57:01.597604
the-times-of-india,The Times of India,Piyush Shukla,Bitcoin price prediction: Bitcoin falls in October 2025 for first time since 2018 — Will November 2025 be the month of revenge for crypto?,"Bitcoin’s “Uptober” magic just broke. For the first time since 2018, Bitcoin fell 3.6% in October 2025. It’s now trading around $110K with a $2.17T market cap. Massive $19B in liquidations, Trump’s China tariffs, and the Fed’s hesitation on cuts hit prices ha…",https://economictimes.indiatimes.com/news/international/us/bitcoin-price-prediction-bitcoin-falls-in-october-2025-for-first-time-since-2018-will-november-2025-be-the-month-of-revenge-for-crypto/articleshow/125015714.cms,2025-11-01T12:11:19Z,"Bitcoins historic Uptober streak has finally ended. For the first time since 2018, the crypto giant closed October 2025 in the red, marking a drop between 3.35% and 3.69%. The Bitcoin October 2025 de… [+7252 chars]",keyword,2025-11-03T09:57:01.597607
,MarketWatch,Isabel Wang,This stock-market rally isn’t letting up. Could it be making investors too greedy ahead of year-end?,Stocks just logged their best midyear stretch since 1950. Is it time to take some profits?,https://www.marketwatch.com/story/this-stock-market-rally-isnt-letting-up-could-it-be-making-investors-too-greedy-ahead-of-year-end-68245a95,2025-11-01T12:00:00Z,"The S&amp;P 500 is coming off its best midyear stretch since the 1950s. Now its a question of taking some profits or holding for a rally at year-end. - Getty Images
With the S&amp;P 500 on pace for … [+4287 chars]",keyword,2025-11-03T09:57:01.597610
,Digitimes,Kevin Wang,Taiwan solar maker pushes storm-proof technology and niche strategy in U.S. and Japan markets,"Taiwanese solar module maker TSEC is aiming to reposition itself amid ongoing geopolitical realignments. In remarks on October 29, 2025, TSEC executive vice president William Liao noted that the company has launched a flexible plan for global expansion of its…",https://www.digitimes.com/news/a20251030PD230/tsec-solar-technology-niche-solar-module.html,2025-11-01T11:00:12Z,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",keyword,2025-11-03T09:57:01.597612
,Livemint,Elizabeth Roche,"US-China G2, nukes on the table: Is Trump heralding Cold War-like bipolarity?","US President Donald Trump ordered the Pentagon to resume testing nuclear weapons ahead of his meeting with Chinese President Xi Jinping, which he billed as a “G2” summit, an arrangement last floated by Barack Obama.&nbsp;",https://www.livemint.com/opinion/online-views/trump-china-bipolar-world-nuclear-weapons-global-power-shift-11761965809859.html,2025-11-01T10:55:40Z,"The world appears to be slipping into bipolarity, with US President Donald Trump realizing the limits of Americas economic leveragewhether through sanctions or trade. His tariffs failed to move China… [+4976 chars]",keyword,2025-11-03T09:57:01.597615
,Yahoo Entertainment,Jing Pan,Peter Schiff says recent sell-offs of 1 hot asset are meant to ‘scare’ weak hands — but the market is ‘alive and well’,Here is why Schiff thinks the market's behaving exactly as it should.,https://finance.yahoo.com/news/peter-schiff-says-recent-sell-105500433.html,2025-11-01T10:55:00Z,"Getty Images
Moneywise and Yahoo Finance LLC may earn commission or revenue through links in the content below.
Anyone whos watched markets for more than a minute knows one thing: big rallies dont … [+7680 chars]",keyword,2025-11-03T09:57:01.597619
,Voxeurop.eu,f_barca,"On the island of Belene, Bulgarian communism’s forgotten prison","On the Danube, between Bulgaria and Romania, Belene island once housed a prison camp for opponents of the Bulgarian Communist Party. Today, the island is home to an ordinary prison as well as a nature park – and what remains of some long-repressed memories.",https://voxeurop.eu/en/belene-bulgaria-island-communist-prison/,2025-11-01T10:31:46Z,One might be forgiven for taking the imposing gates of Belene prison for the doorway to heaven. They frame an enchanting panoramic view of one of the most beautiful nature reserves on the Danube. The… [+15112 chars],keyword,2025-11-03T09:57:01.597622
,BusinessLine,Suresh P Iyengar,PMS deliver negative returns due to skewed market movement,"ICICI Prudential PMS Contra Strategy and ASK India Entrepreneurs portfolio, with AUM of ₹12,110 crore and ₹10,484 crore, have delivered absolute negative returns of 3 per cent and 9% in the last one year ended September",https://www.thehindubusinessline.com/markets/pms-deliver-negative-returns-due-to-skewed-market-movement/article70229087.ece,2025-11-01T10:11:33Z,"Most of the portfolio management service providers have delivered negative returns in the last one year, even though their performance over the three and five-year period has been better.
ICICI Prud… [+2701 chars]",keyword,2025-11-03T09:57:01.597625
,Acm.org,"Eva Eriksson, Lone K. Hansen, Peter Dalsgaard","We Won’t Be Talking About GenAI in 2035, and That’s a Problem","In this feature, we apply a decennial perspective to discuss the interweaving of technology, everyday practices, and societal infrastructures. We ask what happens when technologies become so embedded in everyday life that we stop talking about them and who ge…",https://interactions.acm.org/archive/view/november-december-2025/we-wont-be-talking-about-genai-in-2035-and-thats-a-problem,2025-11-01T10:00:00Z,"Authors:Eva Eriksson, Lone K. Hansen, Peter Dalsgaard 
 
In this feature, we apply a decennial perspective to discuss the interweaving of technology, everyday practices, and societal infrastructure… [+18594 chars]",keyword,2025-11-03T09:57:01.597628
,Yahoo Entertainment,South China Morning Post,Chinese stocks: investors study Beijing's 5-year plan for hints on future market forces,"Over the past week, investors hoping for an extension of this year's blistering, tech-led run on Chinese equities have been poring over - and reading between...",https://finance.yahoo.com/news/chinese-stocks-investors-study-beijings-093000022.html,2025-11-01T09:30:00Z,"Over the past week, investors hoping for an extension of this year's blistering, tech-led run on Chinese equities have been poring over - and reading between the lines of - a draft of Beijing's plan … [+12450 chars]",keyword,2025-11-03T09:57:01.597630
,Yahoo Entertainment,Vince Golle and Molly Smith,Charting the Global Economy: Fed Reins In Rate-Cut Expectations,"The European Central Bank kept borrowing costs unchanged for a third straight meeting, with inflation in check and the economy expanding.  The Fed said it...",https://finance.yahoo.com/news/charting-global-economy-fed-reins-090000413.html,2025-11-01T09:00:00Z,"A television station broadcasts Jerome Powell on the floor of the New York Stock Exchange last week.
(Bloomberg) -- Central bankers in North Americas two largest economies lowered borrowing costs th… [+6135 chars]",keyword,2025-11-03T09:57:01.597633
